,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.026012293665189826,-0.058510737186424494,0.00175105332815238,154,62
2001-02-28,-0.004679425205179459,-0.009824699863721207,-0.005721106577767665,130,33
2001-03-31,-0.00598776998670718,-0.02201230799978909,-0.014905773750509286,102,128
2001-04-30,-0.027742334542743552,0.024493275913632404,0.001867967896190494,149,195
2001-05-31,-0.0962921100499496,0.11338507360060501,-0.0038604521684920856,189,149
2001-06-30,0.04940758516096792,-0.07713101868758906,0.004188084085958065,214,119
2001-07-31,0.09798747195784153,-0.07935879937033367,0.008289213338099734,171,175
2001-08-31,0.041998698259015525,-0.045663885121452405,-0.01948857853460846,106,249
2001-09-30,0.008531373102785475,-0.004675827318269849,-0.001996652375712912,71,279
2001-10-31,0.00040785959594618135,0.004041469758657561,0.0027956605600136593,120,230
2001-11-30,0.06218913185552464,-0.06667190281984019,0.0014829218784019012,183,163
2001-12-31,-0.026058900603177042,0.022907213013068597,-0.016939137322214387,284,65
2002-01-31,-0.010579916252894263,0.010146445376544813,-0.004373717572892732,248,106
2002-02-28,-0.05316874890086554,0.06684358211726146,0.004301944826124857,185,170
2002-03-31,-0.08318439755145887,0.10738248573062714,-0.0008941524978308186,200,152
2002-04-30,0.013614108996858955,-0.01871883151586352,-0.0026426767357948036,178,180
2002-05-31,-0.07635601384994353,0.08831789154811003,0.012208103338925608,165,192
2002-06-30,0.062137671330245836,-0.0600807270276181,-0.03604901948534149,70,286
2002-07-31,0.12417726980924373,-0.09724395729351432,-0.07853230429891504,30,325
2002-08-31,-0.04637930500460175,0.039436772213760254,0.018475948755252297,85,263
2002-09-30,-0.024352617395721428,0.019342903914288383,0.012356701379257744,55,289
2002-10-31,-0.020218602960389062,0.014272382666666509,-0.0017306394830624442,161,186
2002-11-30,0.028380966758761107,-0.013794816803062155,0.010323670203848752,191,143
2002-12-31,0.0837051750489997,-0.08888115199802228,0.02256030489519763,226,124
2003-01-31,0.11210198763731566,-0.10241606434482244,0.00025924258679922046,168,183
2003-02-28,0.015673702014553027,-0.01890280571026716,-0.006727979046598081,125,230
2003-03-31,0.035931027745506966,-0.045453874898531685,-0.009801878271989072,145,186
2003-04-30,0.044916857617183045,-0.05968250111181632,0.027818885517250456,261,51
2003-05-31,-0.013055721744280463,0.006788914250838019,-0.01211073907784625,340,17
2003-06-30,0.08262837591395404,-0.082249684372734,0.07799118046839094,311,9
2003-07-31,0.025297194650669826,-0.016388143773057064,0.022267736916387348,319,25
2003-08-31,0.0385785662893518,-0.04817040794165102,0.015233276588042174,239,88
2003-09-30,0.023750420187908163,-0.02918609571801685,-0.0013344793354569996,151,136
2003-10-31,0.020783569944677158,-0.03193593255884689,-0.0014797334774191474,171,125
2003-11-30,0.002349500444296469,-0.005984561404955975,-0.0021627283084052983,155,183
2003-12-31,-0.010876365685360533,0.001808036222161436,-0.007440123028138863,218,81
2004-01-31,0.024207045949221243,-0.02059870400692463,-0.0010047521912400434,143,184
2004-02-29,0.028125858510442726,-0.03318921917952535,-0.0011486334693540635,139,127
2004-03-31,-0.034575885658602666,0.035518222606849136,0.017338194526472592,90,257
2004-04-30,0.0018705835207122289,0.00024871626500959186,0.0005280378479361571,62,298
2004-05-31,0.03489621877818312,-0.03497513987728769,-0.022882020109994666,63,301
2004-06-30,0.019111293469724875,-0.029351538420497755,-0.016539525392048095,92,256
